No.,Ministry,Total_05-06,Total_06-07,Total_09-10,Total_10-11,Total_12-13,Total_13-14
94,State Plans,30695.89,37661.48,0.0,0.0,0.0,0.0
95,Statistics and Programme Implementation,1839.99,1816.57,2115.27,568.35,4943.54,4951.68
96,Steel,89.53,129.5,115.36,107.62,115.29,112.87
97,Supreme Court of India,38.28,43.27,88.02,0.0,111.75,129.41
98,Telecommunications,2858.65,3166.46,7854.0,7210.87,10094.04,11703.14
99,Textiles,2008.25,3045.75,5398.0,5608.08,7836.41,5431.59
100,"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",378.74,430.07,686.06,670.17,902.98,1033.53
101,Total (A + B),0.0,0.0,80066.71,0.0,0.0,0.0
102,Total Central Assistance for States and UTs (II + III),0.0,0.0,89240.97,96230.19,134290.92,141094.22
103,Tourism,828.2,872.82,1070.0,1119.41,1282.98,1357.3
104,Tribal Affairs,1509.74,1667.46,3220.11,1213.87,4108.0,4295.9400000000005
105,UNION TERRITORIES (A + B),4026.77,4878.84,9174.26,7306.27,10041.92,11164.22
106,UNION TERRITORIES WITHOUT LEGISLATURE (4 + 5 + 6 + 7 + 8),4026.7700000000004,4878.84,3549.27,2054.59,10041.92,11164.22
107,Union Territories without Legislature (iii+iv+v+vi+vii),0.0,0.0,5624.99,5251.68,0.0,0.0
108,Urban Development,21533.92,27253.82,67952.73,73627.23,82907.81000000001,84841.4
109,Urban Employment and Poverty Alleviation,0.0,431.67,0.0,0.0,0.0,0.0
110,Water Resources,874.56,961.51,1003.0,1105.0,2041.0,2076.55
111,Women and Child Development,3931.11,4852.94,7428.0,11070.5,18584.0,20440.0
112,Youth Affairs and Sports,506.99,669.0,3073.0,3565.0,1152.0,1219.0
113,i) North Eastern Region,461.5,600.0,624.0,0.0,821.0,832.0
114,i) Puducherry,0.0,0.0,1028.59,745.89,1205.0,1268.2
115,ii) Central Pool of Resources for NE and Sikkim,585.0,700.0,700.0,0.0,0.0,0.0
116,iii) Andaman & Nicobar Islands,1675.59,1977.93,2689.23,2064.31,2982.65,3192.7
117,iii) Special Package for Bodoland Territorial Council,0.0,0.0,50.0,0.0,0.0,0.0
118,nan,0.0,0.0,0.0,0.0,0.0,0.0
119,v) Dadra and Nagar Haveli,114.7,121.5,247.13,287.02,716.56,796.98
120,vi) Daman and Diu,115.52,121.89,239.09,0.0,0.0,0.0
