Ministry,Budget_05-06,Budget_06-07,Budget_07-08,Budget_09-10,Budget_10-11,Budget_12-13,Budget_13-14,Budget_15-16,Budget_16-17,Budget_18-19,Budget_19-20,Budget_20-21,Budget_21-22,Budget_22-23,Budget_23-24,Sector,2005-06,2006-07,2007-08,2009-10,2010-11,2012-13,2013-14,2015-16,2016-17,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
electronics and information technology,965.3,1126.0,1536.0,2582.0,2707.0,3051.0,3052.0,2630.0,3328.82,6000.0,6420.0,6899.03,9720.66,14300.0,16549.04,Communications & IT Sector,965.3,1126.0,1536.0,2582.0,2707.0,3051.0,3052.0,2630.0,3328.82,6000.0,6420.0,6899.03,9720.66,14300.0,16549.04
environment forests and climate change,1388.19,1520.14,1539.0,2129.0,2351.16,2629.41,2630.2,1230.05,1393.32,88.75,3175.72,3100.0,2869.93,3030.0,3079.4,Environmental Sector,1388.19,1520.14,1539.0,2129.0,2351.16,2629.41,2630.2,1230.05,1393.32,88.75,3175.72,3100.0,2869.93,3030.0,3079.4
external affairs,3928.0,3695.05,4433.6,6293.0,6375.0,9661.97,11719.0,14966.83,14662.66,15011.0,16061.78,17346.71,18154.73,17250.0,18050.0,Administration & Governance Sector,3928.0,3695.05,4433.6,6293.0,6375.0,9661.97,11719.0,14966.83,14662.66,15011.0,16061.78,17346.71,18154.73,17250.0,18050.0
fertilisers,16398.82,17385.81,22532.0,50200.0,50215.0,61256.0,66269.0,73047.8,70039.37,70125.39,75035.0,71345.0,80011.39,105262.23,175148.48,Industry & Commerce Sector,16398.82,17385.81,22532.0,50200.0,50215.0,61256.0,66269.0,73047.8,70039.37,70125.39,75035.0,71345.0,80011.39,105262.23,175148.48
food and public distribution,26590.1,24595.8,26085.0,53262.0,56133.05,76267.16,91034.55,125212.0,140150.0,174159.1,192240.39,122235.43,253974.3,215959.58,205513.94,Administration & Governance Sector,26590.1,24595.8,26085.0,53262.0,56133.05,76267.16,91034.55,125212.0,140150.0,174159.1,192240.39,122235.43,253974.3,215959.58,205513.94
food processing industries,186.55,173.7,258.3,350.5,409.72,670.54,719.11,498.51,636.02,1400.0,1196.6,1232.94,1308.66,2941.99,3287.65,Industry & Commerce Sector,186.55,173.7,258.3,350.5,409.72,670.54,719.11,498.51,636.02,1400.0,1196.6,1232.94,1308.66,2941.99,3287.65
health and family welfare,6453.49,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,11358.0,16371.08,52800.0,61398.12,65011.8,71268.77,83000.0,86175.0,Health & Social Welfare Sector,6453.49,12545.88,15291.0,21113.33,23530.0,30702.0,33278.0,11358.0,16371.08,52800.0,61398.12,65011.8,71268.77,83000.0,86175.0
higher education,5800.5,6982.28,9209.5,15429.0,16690.0,25275.0,26750.0,25700.26,27585.0,35010.29,37461.01,39466.52,38350.65,40828.35,44094.62,Education & Research Sector,5800.5,6982.28,9209.5,15429.0,16690.0,25275.0,26750.0,25700.26,27585.0,35010.29,37461.01,39466.52,38350.65,40828.35,44094.62
home affairs,17015.82,18018.41,20995.73,37299.78,35144.97,52222.1,56906.84,65651.1,73406.37,4793.36,4895.81,8002.0,7620.4,7621.0,5901.31,Administration & Governance Sector,17015.82,18018.41,20995.73,37299.78,35144.97,52222.1,56906.84,65651.1,73406.37,4793.36,4895.81,8002.0,7620.4,7621.0,5901.31
housing and urban affairs,3180.05,3206.26,3814.52,5245.78,7489.37,9685.99,10363.75,13192.87,17461.6,41765.13,48032.17,50039.9,54581.0,76549.46,76431.6,Infrastructure Sector,3180.05,3206.26,3814.52,5245.78,7489.37,9685.99,10363.75,13192.87,17461.6,41765.13,48032.17,50039.9,54581.0,76549.46,76431.6
information and broadcasting,1603.0,1716.0,1681.84,2568.0,2604.18,2737.32,3035.65,3711.11,4083.63,4088.98,4375.21,4375.21,4071.23,3980.77,4692.0,Cultural & Tourism Sector,1603.0,1716.0,1681.84,2568.0,2604.18,2737.32,3035.65,3711.11,4083.63,4088.98,4375.21,4375.21,4071.23,3980.77,4692.0
labour and employment,1192.09,1481.36,1633.48,2442.97,2848.33,4333.68,5081.2,3966.85,6131.35,7700.0,10434.09,12065.49,13306.5,16893.68,13221.73,Health & Social Welfare Sector,1192.09,1481.36,1633.48,2442.97,2848.33,4333.68,5081.2,3966.85,6131.35,7700.0,10434.09,12065.49,13306.5,16893.68,13221.73
land resources,1399.44,1421.7,1503.78,2405.64,2665.8,3208.2,5772.85,59.73,230.51,2511.4,2227.24,2251.24,2170.42,2259.34,2419.23,Rural & Regional Development Sector,1399.44,1421.7,1503.78,2405.64,2665.8,3208.2,5772.85,59.73,230.51,2511.4,2227.24,2251.24,2170.42,2259.34,2419.23
law and justice,495.0,872.95,817.0,1678.0,687.19,1535.62,1815.47,2960.65,4564.99,4386.33,3055.11,2200.0,2645.82,3393.48,3975.43,Administration & Governance Sector,495.0,872.95,817.0,1678.0,687.19,1535.62,1815.47,2960.65,4564.99,4386.33,3055.11,2200.0,2645.82,3393.48,3975.43
mines,441.86,495.02,389.7,590.0,566.14,698.44,991.08,1155.71,1213.49,1669.52,1497.94,1701.4,1466.82,1508.0,1911.6,Energy Sector,441.86,495.02,389.7,590.0,566.14,698.44,991.08,1155.71,1213.49,1669.52,1497.94,1701.4,1466.82,1508.0,1911.6
planning,106.8,123.83,129.32,519.0,2059.32,2177.03,8081.51,2211.63,293.14,339.65,363.4,650.0,1062.77,321.42,824.39,Administration & Governance Sector,106.8,123.83,129.32,519.0,2059.32,2177.03,8081.51,2211.63,293.14,339.65,363.4,650.0,1062.77,321.42,824.39
posts,1773.1,1765.2,1714.38,6021.26,4266.14,6537.12,7527.09,7138.7,9025.53,11496.18,11299.1,15525.38,16528.22,20820.02,25814.0,Communications & IT Sector,1773.1,1765.2,1714.38,6021.26,4266.14,6537.12,7527.09,7138.7,9025.53,11496.18,11299.1,15525.38,16528.22,20820.02,25814.0
power,3061.7,5567.0,5552.19,9202.0,10474.87,9519.11,10073.07,6725.93,12252.71,15046.92,15874.82,15874.82,15322.0,16074.74,20671.32,Energy Sector,3061.7,5567.0,5552.19,9202.0,10474.87,9519.11,10073.07,6725.93,12252.71,15046.92,15874.82,15874.82,15322.0,16074.74,20671.32
public enterprises,32.93,35.32,14.43,17.2,15.72,21.93,19.39,19.0,20.42,20.44,22.64,24.15,21.81,30.0,33.05,Industry & Commerce Sector,32.93,35.32,14.43,17.2,15.72,21.93,19.39,19.0,20.42,20.44,22.64,24.15,21.81,30.0,33.05
road transport and highways,1478.55,1512.49,1512.13,19565.0,22184.9,28438.21,28942.23,42841.65,46983.0,71000.0,83015.97,91823.22,118101.0,199107.71,270434.71,Infrastructure Sector,1478.55,1512.49,1512.13,19565.0,22184.9,28438.21,28942.23,42841.65,46983.0,71000.0,83015.97,91823.22,118101.0,199107.71,270434.71
rural development,18353.87,24047.56,27522.86,62706.95,66137.86,73221.82,74477.65,7493.08,7671.4,112403.92,117647.19,120147.19,131519.08,135944.29,157545.0,Rural & Regional Development Sector,18353.87,24047.56,27522.86,62706.95,66137.86,73221.82,74477.65,7493.08,7671.4,112403.92,117647.19,120147.19,131519.08,135944.29,157545.0
school education and literacy,12536.53,17132.71,23142.22,29099.21,33214.0,48781.0,52701.0,6153.0,8466.5,50000.0,56386.63,59845.0,54873.66,63449.37,68804.85,Education & Research Sector,12536.53,17132.71,23142.22,29099.21,33214.0,48781.0,52701.0,6153.0,8466.5,50000.0,56386.63,59845.0,54873.66,63449.37,68804.85
science and technology,1636.0,1746.0,1775.0,2133.0,2369.0,2873.22,3184.27,3835.7,4470.2,5114.78,5321.01,6301.53,6067.39,6000.0,7931.05,Education & Research Sector,1636.0,1746.0,1775.0,2133.0,2369.0,2873.22,3184.27,3835.7,4470.2,5114.78,5321.01,6301.53,6067.39,6000.0,7931.05
scientific and industrial research,1557.0,1750.0,1902.0,2691.0,2988.0,3484.0,3571.0,4031.0,4062.8,4795.97,4895.89,5385.0,5224.27,5636.46,5746.51,Education & Research Sector,1557.0,1750.0,1902.0,2691.0,2988.0,3484.0,3571.0,4031.0,4062.8,4795.97,4895.89,5385.0,5224.27,5636.46,5746.51
social justice and empowerment,1599.7,1817.6,2059.15,2585.0,4574.0,6008.3,6725.32,2792.57,1934.35,7750.0,7800.0,10103.57,10517.62,11922.51,12847.02,Health & Social Welfare Sector,1599.7,1817.6,2059.15,2585.0,4574.0,6008.3,6725.32,2792.57,1934.35,7750.0,7800.0,10103.57,10517.62,11922.51,12847.02
space,3148.0,3610.0,3858.6,4959.0,5778.0,6715.0,6792.0,7388.19,7509.14,10783.42,11538.26,13479.47,13949.09,13700.0,12543.91,Education & Research Sector,3148.0,3610.0,3858.6,4959.0,5778.0,6715.0,6792.0,7388.19,7509.14,10783.42,11538.26,13479.47,13949.09,13700.0,12543.91
statistics and programme implementation,1580.0,1580.0,1580.0,535.27,568.35,988.54,996.68,876.87,772.82,4859.0,5231.06,5444.0,1409.13,5398.08,5443.4,Administration & Governance Sector,1580.0,1580.0,1580.0,535.27,568.35,988.54,996.68,876.87,772.82,4859.0,5231.06,5444.0,1409.13,5398.08,5443.4
steel,89.53,129.5,150.5,115.36,107.62,115.29,112.87,82.95,85.62,47.9,241.29,100.0,39.25,47.0,70.15,Industry & Commerce Sector,89.53,129.5,150.5,115.36,107.62,115.29,112.87,82.95,85.62,47.9,241.29,100.0,39.25,47.0,70.15
telecommunications,2858.65,3166.46,3840.0,7854.0,7210.87,10094.04,11703.14,13474.6,18413.87,28055.28,27338.36,66431.69,58737.0,84586.8,97579.05,Communications & IT Sector,2858.65,3166.46,3840.0,7854.0,7210.87,10094.04,11703.14,13474.6,18413.87,28055.28,27338.36,66431.69,58737.0,84586.8,97579.05
textiles,2008.25,3045.75,3136.68,5398.0,5608.08,7836.41,5431.59,4274.8,4594.82,7147.73,5831.48,3514.79,3631.64,12382.14,4389.34,Industry & Commerce Sector,2008.25,3045.75,3136.68,5398.0,5608.08,7836.41,5431.59,4274.8,4594.82,7147.73,5831.48,3514.79,3631.64,12382.14,4389.34
tourism,828.2,872.82,996.62,1070.0,1119.41,1282.98,1357.3,1553.07,1590.32,2150.0,2189.22,2499.83,2026.77,2400.0,2400.0,Cultural & Tourism Sector,828.2,872.82,996.62,1070.0,1119.41,1282.98,1357.3,1553.07,1590.32,2150.0,2189.22,2499.83,2026.77,2400.0,2400.0
tribal affairs,1107.01,1216.71,1216.71,819.61,1213.87,1591.0,1778.94,1065.37,399.28,6000.0,6526.96,7411.0,7524.87,8451.92,12461.88,Health & Social Welfare Sector,1107.01,1216.71,1216.71,819.61,1213.87,1591.0,1778.94,1065.37,399.28,6000.0,6526.96,7411.0,7524.87,8451.92,12461.88
women and child development,3931.11,4852.94,5853.0,7428.0,11070.5,18584.0,20440.0,1084.61,3094.32,24700.0,29164.9,30007.1,24435.0,25172.28,25448.75,Health & Social Welfare Sector,3931.11,4852.94,5853.0,7428.0,11070.5,18584.0,20440.0,1084.61,3094.32,24700.0,29164.9,30007.1,24435.0,25172.28,25448.75
youth affairs and sports,506.99,669.0,780.0,3073.0,3565.0,1152.0,1219.0,1398.84,1592.0,2196.35,2216.92,2826.92,2596.14,3062.6,3397.32,Cultural & Tourism Sector,506.99,669.0,780.0,3073.0,3565.0,1152.0,1219.0,1398.84,1592.0,2196.35,2216.92,2826.92,2596.14,3062.6,3397.32
