No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_08-09,Total_09-10,Total_10-11,Total_11-12,Total_12-13,Total_13-14,Total_14-15,Total_15-16,Total_16-17,Total_17-18,Total_18-19,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
33,Civil Aviation,633.5,448.6,617.56,0,887.0,2885.0,0,5238.8,5882.18,0,3341.5,2590.68,0,0,0.0,0.0,0.0,0.0,0.0
34,Coal,192.07,205.71,288.0,0,349.0,447.7,0,498.35,497.7,0,606.0,361.0,0,0,0.0,0.0,0.0,0.0,0.0
35,Company Affairs,116.27,145.0,201.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
36,Consumer Affairs,133.34,198.0,249.64,0,467.0,475.2,0,602.29,556.9,0,261.77,1241.61,0,0,0.0,0.0,0.0,0.0,0.0
37,Corporate Affairs,0.0,0.0,0.0,0,229.62,249.01,0,245.5,255.28,0,271.88,344.43,0,0,0.0,0.0,0.0,0.0,0.0
38,Culture,865.27,820.0,932.61,0,1276.0,1238.0,0,1447.0,2062.0,0,2169.0,2500.0,0,0,0.0,0.0,0.0,0.0,0.0
39,DONER,1046.5,1300.0,1300.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
40,Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,2180.52,2204.59,0.0,0.0
41,Daman & Diu,115.52,121.89,130.67,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
42,Defence (Civil estimates),13952.0,15123.84,16695.83,0,24960.0,0.0,0,44798.24,49673.79,0,63352.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0
43,Defence Pensions,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,112079.57,133825.0,115850.0,119696.0,138205.0
44,Defence Services,83000.0,89000.0,96000.0,0,141703.0,147344.0,0,193407.29,203672.12,0,246727.0,222456.14,0,0,0.0,0.0,0.0,0.0,0.0
45,Defence Services (Revenue),0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,198485.76,209319.0,212027.56,233000.54,270120.14
46,Defence(Misc.),0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,118465.84,0,0,0.0,0.0,0.0,0.0,0.0
47,Department for Promotion of Industry and Internal Trade,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,6605.55,7782.24,8348.0,8200.63
48,Department of Agricultural Research and Education,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,8078.76,8362.58,8513.62,8513.62,9504.0
49,Department of Agriculture Cooperation and Farmers' Welfare,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,23228.83,0,0,129585.21,134399.77,123017.57,124000.0,115531.79
50,Department of Animal Husbandry Dairying and Fisheries,0.0,819.86,955.0,0,0.0,0.0,0,2009.37,2110.16,0,1227.43,1339.51,0,0,3100.0,3289.13,3101.98,3918.84,4327.85
51,Department of Biotechnology,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,2580.34,2786.76,3502.37,2581.0,2683.86
52,Department of Chemicals and Petrochemicals,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,263.65,218.34,233.14,209.0,173.45
53,Department of Commerce,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,6219.32,6219.32,4986.01,6073.0,5254.58
54,Department of Consumer Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,2272.32,2300.0,2974.1,1724.88,250.66
55,Department of Drinking Water and Sanitation,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,21518.1,60030.45,67221.12,77223.0
56,Department of Economic Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,14120.62,29308.27,61128.18,14540.26,0.0
57,Department of Empowerment of Persons with Disabilities,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,783.55,0,0,1144.9,1325.39,1171.77,1212.42,1225.15
58,Department of Expenditure,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,400.55,535.55,454.74,476.89,0.0
59,Department of Fertilisers,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,75035.0,71345.0,80011.39,105262.23,175148.48
60,Department of Financial Services,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4690.19,11125.0,29510.79,5313.73,1324.64
61,Department of Fisheries,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,825.0,1220.84,2118.47,2248.77
62,Department of Food and Public Distribution,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,192240.39,122235.43,253974.3,215959.58,205513.94
63,Department of Health Research,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1900.0,2100.0,2663.0,3200.65,2980.0
64,Department of Health and Family Welfare,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,61398.12,65011.8,71268.77,83000.0,86175.0
65,Department of Heavy Industry,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1162.0,1489.98,995.27,0.0,0.0
66,Department of Higher Education,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,37461.01,39466.52,38350.65,40828.35,44094.62
67,Department of Industrial Policy and Promotion,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,5674.51,0.0,0.0,0.0,0.0
68,Department of Investment and Public Asset Management (DIPAM),0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,47.08,132.11,110.52,290.42,94.92
69,Department of Land Resources,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,2227.24,2251.24,2170.42,2259.34,2419.23
70,Department of Pharmaceuticals,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,235.51,333.58,470.41,2244.15,3160.06
71,Department of Posts,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,11299.1,15525.38,16528.22,20820.02,25814.0
72,Department of Public Enterprises,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,22.64,24.15,21.81,30.0,33.05
73,Department of Revenue,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,102048.34,136640.33,101235.38,121231.29,146347.68
74,Department of Rural Development,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,117647.19,120147.19,131519.08,135944.29,157545.0
75,Department of School Education and Literacy,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,56386.63,59845.0,54873.66,63449.37,68804.85
76,Department of Science and Technology,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,5321.01,6301.53,6067.39,6000.0,7931.05
77,Department of Scientific and Industrial Research,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4895.89,5385.0,5224.27,5636.46,5746.51
78,Department of Social Justice and Empowerment,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,7800.0,10103.57,10517.62,11922.51,12847.02
79,Department of Space,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,11538.26,13479.47,13949.09,13700.0,12543.91
80,Department of Telecommunications,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,27338.36,66431.69,58737.0,84586.8,97579.05
81,Department of Water Resources River Development and Ganga Rejuvenation,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4232.43,6192.07,0,0,8041.25,8960.39,9022.57,18967.88,20054.67
82,Disinvestment,6.7,3850.05,1655.0,0,1138.78,63.36,0,63.24,63.24,0,44.0,40.0,0,0,0.0,0.0,0.0,0.0,0.0
83,Drinking Water Supply,4751.42,6001.7,15123.48,0,9202.84,10583.78,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
84,Drinking Water and Sanitation,0.0,0.0,0.0,0,0.0,0.0,0,14005.24,15265.7,0,238.87,1471.2,0,0,0.0,0.0,0.0,0.0,0.0
85,Earth Sciences,0.0,0.0,887.0,0,1210.0,1302.0,0,1668.0,1690.0,0,1619.7,1672.45,0,0,0.0,0.0,0.0,0.0,0.0
86,Economic Affairs,8085.68,5738.19,48754.74,0,11535.11,6722.44,0,23165.01,29877.38,0,17239.56,16046.15,0,0,0.0,0.0,0.0,0.0,0.0
87,Election Commission,11.85,12.5,0.0,0,21.0,0.0,0,72.17,68.5,0,80.0,121.52,0,0,286.68,270.0,249.16,260.0,340.0
88,Elementary Education and Literacy,12536.53,17132.71,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
89,Environment and Forests,1388.19,1520.14,1539.0,0,2129.0,2351.16,0,2629.41,2630.2,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
90,Expenditure,7073.92,7998.36,8635.5,0,13269.67,17074.85,0,21350.95,22812.99,0,29870.89,34961.38,0,0,0.0,0.0,0.0,0.0,0.0
91,External Affairs,3928.0,3695.05,4433.6,0,6293.0,6375.0,0,9661.97,11719.0,0,14966.83,14662.66,0,0,0.0,0.0,0.0,0.0,0.0
92,Family Welfare,6453.49,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
93,Fertilisers,16398.82,17385.81,22532.0,0,50200.0,50215.0,0,61256.0,66269.0,0,73047.8,70039.37,0,0,0.0,0.0,0.0,0.0,0.0
94,Finance Commission Grants,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,131902.22,149924.8,0.0,0.0,0.0
95,Financial Services#,0.0,0.0,0.0,0,23413.54,37609.1,0,24437.23,23369.39,0,24866.8,31975.52,0,0,0.0,0.0,0.0,0.0,0.0
96,Food and Public Distribution,26590.1,24595.8,26085.0,0,53262.0,56133.05,0,76267.16,91034.55,0,125212.0,140150.0,0,0,0.0,0.0,0.0,0.0,0.0
97,Grand Total,514343.8,563991.13,680520.51,0,0.0,0.0,0,1490925.29,1665297.32,0,1777477.04,1978060.45,0,0,2784199.55,3042230.09,3483235.63,3944908.67,3944908.67
98,Health,3827.64,12545.88,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
99,Health Research#,0.0,0.0,0.0,0,606.0,660.0,0,908.0,1008.0,0,1018.17,1144.8,0,0,0.0,0.0,0.0,0.0,0.0
100,Heavy Industry,861.32,905.84,906.3,0,812.0,881.71,0,1009.67,1028.97,0,1624.73,1300.0,0,0,0.0,0.0,0.0,0.0,0.0
101,I. CENTRAL SECTOR,0.0,0.0,0.0,0,7808.15,0.0,0,1356634.37,1524203.1,0,1567081.78,1729508.48,0,0,0.0,0.0,0.0,0.0,0.0
102,II. STATE PLANS,30695.89,37661.48,45827.04,0,0.0,0.0,0,0.0,0.0,0,194945.01,232772.36,0,0,0.0,0.0,0.0,0.0,0.0
103,II. STATE PLANS TOTAL (A+B),0.0,0.0,0.0,0,0.0,0.0,0,124249.0,129930.0,0,196743.01,234372.36,0,0,0.0,0.0,0.0,0.0,0.0
104,III. UNION TERRITORIES (A + B),0.0,0.0,0.0,0,9174.26,7306.27,0,10041.92,11164.22,0,13652.25,14179.61,0,0,0.0,0.0,0.0,0.0,0.0
105,IV. Total Central Assistance for States and UTs (II + III),0.0,0.0,52469.03,0,89240.97,96230.19,0,134290.92,141094.22,0,210395.26,248551.97,0,0,0.0,0.0,0.0,0.0,0.0
106,Indian Audit and Accounts Department,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4672.78,5054.73,5092.14,5620.14,5806.13
107,Indirect Taxes,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,15236.439999999999,16321.39,29865.11,50445.47,48400.950000000004
108,Industrial Policy and Promotion,640.27,600.32,613.44,0,1186.0,1208.87,0,1567.25,1716.29,0,2616.19,3026.55,0,0,0.0,0.0,0.0,0.0,0.0
109,Information Technology,965.3,1126.0,1536.0,0,2582.0,2707.0,0,3051.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
110,Information and Broadcasting,1603.0,1716.0,1681.84,0,2568.0,2604.18,0,2737.32,3035.65,0,3711.11,4083.63,0,0,0.0,0.0,0.0,0.0,0.0
111,Interest Payments,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,665060.92,708203.16,809701.32,940651.02,1079971.0
112,Ladakh,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,5958.0,5958.0,0.0,0.0
113,Lok Sabha,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,809.13,811.1,855.0,800.0,822.0
114,MINISTRY/DEPARTMENT,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
115,Mines,441.86,495.02,389.7,0,590.0,566.14,0,698.44,991.08,0,1155.71,1213.49,0,0,0.0,0.0,0.0,0.0,0.0
116,Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),405.98,447.89,563.88,0,922.0,964.0,0,1178.0,1259.0,0,1196.0,1320.2,0,0,1739.76,2122.08,2970.3,0.0,0.0
117,Ministry of Ayush,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3050.0,3647.5
118,Ministry of Civil Aviation,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4500.0,3797.71,3224.67,10667.0,3113.36
119,Ministry of Coal,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,822.05,882.61,534.88,393.24,192.32
120,Ministry of Cooperation,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,900.0,1150.38
121,Ministry of Corporate Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,553.63,727.62,712.13,733.02,756.19
122,Ministry of Culture,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,3042.35,3149.86,2687.99,3009.05,3399.65
123,Ministry of Defence (Civil),0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,14500.0,15257.34,20100.0,22612.5
124,Ministry of Defence (Misc.),0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,17065.12,0.0,0.0,0.0,0.0
125,Ministry of Development of North Eastern Region,52.23,62.79,93.07,0,101.47,209.33,0,229.33,250.97,0,564.74,830.01,0,0,3000.0,3048.73,2658.0,2800.0,5892.0
126,Ministry of Drinking Water and Sanitation,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,6000.0,12537.0,0,0,18216.34,0.0,0.0,0.0,0.0
127,Ministry of Earth Sciences,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1901.76,2070.0,1897.13,2653.51,3319.88
128,Ministry of Electronics and Information Technology,0.0,0.0,0.0,0,0.0,0.0,0,0.0,3052.0,0,2630.0,3328.82,0,0,6420.0,6899.03,9720.66,14300.0,16549.04
129,Ministry of Environment Forests and Climate Change,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1679.6,2249.74,0,0,3175.72,3100.0,2869.93,3030.0,3079.4
130,Ministry of External Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,16061.78,17346.71,18154.73,17250.0,18050.0
131,Ministry of Food Processing Industries,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1196.6,1232.94,1308.66,2941.99,3287.65
132,Ministry of Heavy Industries,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3306.0,6171.63
133,Ministry of Home Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4895.81,8002.0,7620.4,7621.0,5901.31
134,Ministry of Housing and Urban Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,48032.17,50039.9,54581.0,76549.46,76431.6
135,Ministry of Information and Broadcasting,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4375.21,4375.21,4071.23,3980.77,4692.0
136,Ministry of Labour and Employment,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,10434.09,12065.49,13306.5,16893.68,13221.73
137,Ministry of Micro Small and Medium Enterprises,0.0,0.0,0.0,0,2033.45,2648.7,0,3155.66,3289.71,0,3007.42,3464.77,0,0,7011.29,7572.2,15699.65,21422.0,22137.95
138,Ministry of Mines,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1497.94,1701.4,1466.82,1508.0,1911.6
139,Ministry of Minority Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4700.0,5029.0,4810.77,5020.5,3097.6
140,Ministry of New and Renewable Energy,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,5254.83,5753.0,5753.0,6900.68,10222.0
141,Ministry of Panchayati Raj,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,871.37,900.94,913.43,868.57,1016.42
142,Ministry of Parliamentary Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,19.38,50.52,65.07,66.4,63.0
143,Ministry of Personnel Public Grievances and Pensions,304.0,345.3,366.0,0,675.5,706.36,0,894.67,1019.94,0,0.0,1477.68,0,0,1629.59,1754.54,2058.57,2337.18,2207.74
144,Ministry of Petroleum and Natural Gas,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,42901.49,42901.0,15943.78,8939.86,41007.72
145,Ministry of Planning,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,363.4,650.0,1062.77,321.42,824.39
146,Ministry of Ports Shipping and Waterways,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1702.35,1709.5,2218.74
147,Ministry of Power,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,15874.82,15874.82,15322.0,16074.74,20671.32
148,Ministry of Railways,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,66768.67,72215.63,110054.64,140367.13,241267.51
149,Ministry of Road Transport and Highways,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,83015.97,91823.22,118101.0,199107.71,270434.71
150,Ministry of Shipping,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1902.56,1800.0,0.0,0.0,0.0
151,Ministry of Skill Development and Entrepreneurship,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1543.46,1804.28,0,0,2989.21,3002.21,2785.23,2999.0,3517.31
152,Ministry of Statistics and Programme Implementation,1839.99,1816.57,2127.08,0,2115.27,568.35,0,4943.54,4951.68,0,4826.87,4752.83,0,0,5231.06,5444.0,1409.13,5398.08,5443.4
153,Ministry of Steel,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,241.29,100.0,39.25,47.0,70.15
154,Ministry of Textiles,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,5831.48,3514.79,3631.64,12382.14,4389.34
155,Ministry of Tourism,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,2189.22,2499.83,2026.77,2400.0,2400.0
156,Ministry of Tribal Affairs,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,6526.96,7411.0,7524.87,8451.92,12461.88
157,Ministry of Women and Child Development,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,29164.9,30007.1,24435.0,25172.28,25448.75
158,Ministry of Youth Affairs and Sports,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,2216.92,2826.92,2596.14,3062.6,3397.32
159,New and Renewable Energy,0.0,0.0,632.9,0,628.0,1008.5,0,1397.79,1533.55,0,303.21,5035.79,0,0,0.0,0.0,0.0,0.0,0.0
160,Non-Conventional Energy Sources,605.38,603.64,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
161,Ocean Development,377.0,475.75,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
