Sector_12,Base_Ministry,Fiscal_Year,Year_End,Naive_Lag1_2024,DL_Ensemble_2025,Linear_Ridge_2025,Growth_vs_2024_%,GRU_L5_U64_DL_2025,GRU_L5_U64_Blend_2025,GRU_L5_U64_alpha,LSTM_L5_U64_DL_2025,LSTM_L5_U64_Blend_2025,LSTM_L5_U64_alpha,StackedGRU_L5_64_32_DL_2025,StackedGRU_L5_64_32_Blend_2025,StackedGRU_L5_64_32_alpha,BiGRU_L5_U64_DL_2025,BiGRU_L5_U64_Blend_2025,BiGRU_L5_U64_alpha,TCN_L5_F64_K3_DL_2025,TCN_L5_F64_K3_Blend_2025,TCN_L5_F64_K3_alpha,LinearOLS_DL_2025,LinearOLS_Blend_2025,LinearOLS_alpha,Ridge_DL_2025,Ridge_Blend_2025,Ridge_alpha
communication broadcasting culture and toursim,Posts,24-25,2025,25814.0,26922.01801107883,25882.136265897752,4.292314291000354,22932.502611994743,22932.502611994743,1.0,27594.258353471756,25814.0,0.0,29115.736881256104,28686.511086692808,0.87,52238.17312717438,31363.07635670662,0.21,31023.96344947815,25814.0,0.0,45314.08490371704,26009.00084903717,0.01,29220.813294887543,25882.136265897752,0.02
communication broadcasting culture and toursim,Telecommunications,24-25,2025,97579.05,98463.95464570707,97308.28182982796,0.9068592548370428,80724.56686975659,80724.56686975659,1.0,100278.41342309117,97579.05,0.0,106569.56093512774,105400.79451356112,0.87,161661.2492629409,111036.3118452176,0.21,115043.91052553058,97579.05,0.0,129222.48682456613,97895.48436824566,0.01,84040.64149139822,97308.28182982796,0.02
communication broadcasting culture and toursim,Tourism,24-25,2025,2400.0,2691.568309020996,2417.397960662842,12.148679542541496,2170.3210830688477,2170.3210830688477,1.0,2574.6116638183594,2400.0,0.0,2841.2418365478516,2783.880397796631,0.87,8607.809829711914,3703.640064239502,0.21,2951.3251304626465,2400.0,0.0,5056.486701965332,2426.5648670196533,0.01,3269.89803314209,2417.397960662842,0.02
defense security,Defence (Civil estimates),24-25,2025,22612.5,22439.43288424909,22737.346349179745,-0.7653603792190584,22245.20963653922,22245.20963653922,1.0,23892.706574499607,22612.5,0.0,23424.52589124441,23318.962525382638,0.87,16876.74885392189,21407.992259323597,0.21,22975.012376904488,22612.5,0.0,21004.357767105103,22596.41857767105,0.01,28854.817458987236,22737.346349179745,0.02
defense security,Defence Services,24-25,2025,22612.5,22460.517601145802,22619.84243774414,-0.6721167445182865,21995.228614658117,21995.228614658117,1.0,24525.63816457987,22612.5,0.0,23127.916033565998,23060.91194920242,0.87,19797.964008897543,22021.447441868484,0.21,25649.13217127323,22612.5,0.0,21413.787411153316,22600.512874111533,0.01,22979.62188720703,22619.84243774414,0.02
defense security,Home Affairs,24-25,2025,5901.31,6107.268409712272,5931.987651421952,3.4900455951690645,5107.112660211921,5107.112660211921,1.0,6274.507739975453,5901.31,0.0,6012.7289002275475,5998.244443197966,0.87,14125.381167387963,7628.364945151472,0.21,6300.257620042563,5901.31,0.0,6244.800723187924,5904.74490723188,0.01,7435.192571097613,5931.987651421952,0.02
economic services,Chemicals and Petro-Chemicals,24-25,2025,173.45,171.68365777310132,176.96580660176278,-1.0183581590652477,150.35301633179188,150.35301633179188,1.0,178.4074818611145,173.45,0.0,189.35281443595886,187.2854485592842,0.87,175.4967808306217,173.87982397443056,0.21,187.82622182965278,173.45,0.0,613.4056729078293,177.84955672907827,0.01,349.24033008813853,176.96580660176278,0.02
economic services,Commerce,24-25,2025,5254.58,5287.35185952148,5339.105193744231,0.6236818075180149,4549.040588012934,4549.040588012934,1.0,5383.140005431175,5254.58,0.0,5661.670188803672,5608.748464259195,0.87,7708.057358739376,5769.8102453352685,0.21,5941.082962377071,5254.58,0.0,16504.471834955217,5367.078918349553,0.01,9480.839687211514,5339.105193744231,0.02
economic services,Economic Affairs (centralised provisions),24-25,2025,5901.31,7522.628847813898,6206.335525188923,27.47388033866882,5447.719422158003,5447.719422158003,1.0,6139.7195731318,5901.31,0.0,6441.71347432375,6371.461022661662,0.87,44425.28044880867,13991.34379424982,0.21,7767.888225312234,5901.31,0.0,36021.439198303226,6202.511291983033,0.01,21152.586259446147,6206.335525188923,0.02
economic services,Heavy Industry,24-25,2025,6171.63,5781.450729993052,6173.085628083658,-6.322142934799205,4547.048133167625,4547.048133167625,1.0,6108.095805541277,6171.63,0.0,6453.943214943409,6417.242497000765,0.87,3448.168189508915,5599.7030197968725,0.21,6270.582280490398,6171.63,0.0,11156.300549254418,6221.476705492544,0.01,6244.411404182911,6173.085628083658,0.02
economic services,Industrial Policy and Promotion,24-25,2025,8200.63,8287.021561349993,8298.729114310907,1.0534746885299537,6809.372441707253,6809.372441707253,1.0,8363.904362171888,8200.63,0.0,8788.753799699543,8712.297705738602,0.87,14446.095044305323,9512.177659304118,0.21,9582.355554554462,8200.63,0.0,22774.660459434985,8346.37030459435,0.01,13105.585715545414,8298.729114310907,0.02
economic services,Labour and Employment,24-25,2025,13221.73,13385.008746553227,13428.628709430312,1.2349272489547691,11810.546594145299,11810.546594145299,1.0,13104.171049363613,13221.73,0.0,13605.241133829355,13555.384686431538,0.87,22240.408343758583,15115.652452189302,0.21,15961.159638748168,13221.73,0.0,41081.69134621143,13500.329613462114,0.01,23566.665471515655,13428.628709430312,0.02
economic services,Planning,24-25,2025,824.39,788.8849950120032,834.2134928654671,-4.306821405887604,646.1279940402508,646.1279940402508,1.0,819.3765527564287,824.39,0.0,901.5385844755173,891.5092684937,0.87,508.2838691717386,758.0077125260651,0.21,994.7627881026268,824.39,0.0,2327.0015449500083,839.4161154495,0.01,1315.5646432733536,834.2134928654671,0.02
economic services,Public Enterprises,24-25,2025,33.05,31.740742668563126,33.41649895894527,-3.961444270610806,26.307217025756835,26.307217025756835,1.0,34.109099292755126,33.05,0.0,35.301362150907515,35.00868507128954,0.87,24.658624979853627,31.287811245769262,0.21,35.05907214879989,33.05,0.0,89.900397837162,33.61850397837161,0.01,51.37494794726371,33.41649895894527,0.02
economic services,Small Scale Industries,24-25,2025,6171.63,5724.533695421983,6148.501815456712,-7.2443795979022925,4429.32038985908,4429.32038985908,1.0,6169.896653981209,6171.63,0.0,6472.96661392808,6433.792854117429,0.87,2574.797776825726,5416.295233133403,0.21,5661.702555599213,6171.63,0.0,9231.900953407288,6202.232709534073,0.01,5015.2207728356125,6148.501815456712,0.02
economic services,Statistics and Programme Implementation,24-25,2025,10886.8,10874.76900601635,10933.539999001501,-0.11050992012023506,9166.996508002281,9166.996508002281,1.0,11180.506859111785,10886.8,0.0,11366.097252702712,11303.788609851359,0.87,16804.22815346718,12129.459912228107,0.21,11534.43199520111,10886.8,0.0,23090.371259498595,11008.835712594984,0.01,13223.799950075148,10933.539999001501,0.02
economic services,Steel,24-25,2025,70.15,69.74238870672585,71.63741172909737,-0.5810567259788424,64.36794072687627,64.36794072687627,1.0,71.23836677074434,70.15,0.0,76.39554840922357,75.5836271160245,0.87,62.104169955849656,68.46037569072844,0.21,76.41979138851167,70.15,0.0,247.87997254133228,71.92729972541333,0.01,144.52058645486832,71.63741172909737,0.02
economic services,Textiles,24-25,2025,4389.34,4427.234949771762,4467.1958374601845,0.8633404970169133,3634.635446443558,3634.635446443558,1.0,4538.053958272934,4389.34,0.0,4738.4038064599035,4693.025511620116,0.87,7439.310432357788,5029.833790795135,0.21,4402.999443938732,4389.34,0.0,14283.793287129403,4488.284532871295,0.01,8282.131873009204,4467.1958374601845,0.02
energy and natural resources,Atomic Energy,24-25,2025,25078.49,25166.977116115428,25121.382470122244,0.35284068584442696,21753.919074137808,21753.919074137808,1.0,25757.778427927497,25078.49,0.0,26366.91316094637,26199.418150023343,0.87,37678.86312579036,27724.568356415977,0.21,27961.74228562236,25078.49,0.0,30459.567791703943,25132.300777917044,0.01,27223.113506112102,25121.382470122244,0.02
energy and natural resources,Coal,24-25,2025,192.32,263.5681503482055,195.21641081085204,37.04666719436643,215.58359981536864,215.58359981536864,1.0,207.92730587005616,192.32,0.0,221.51475616455076,217.71943786315916,0.87,1656.97578125,499.8977140625,0.21,213.57273136138915,192.32,0.0,372.9948684310913,194.1267486843109,0.01,337.14054054260254,195.21641081085204,0.02
energy and natural resources,Environment and Forests,24-25,2025,3079.4,2962.191795593739,3140.0271485304834,-3.8062026500701855,2502.325263309479,2502.325263309479,1.0,3083.2155655384063,3079.4,0.0,3049.5534966230393,3053.433542062044,0.87,3160.353202843666,3096.4001725971702,0.21,3150.5969698905947,3079.4,0.0,7528.9815520763395,3123.895815520764,0.01,6110.757426524163,3140.0271485304834,0.02
energy and natural resources,Fertilisers,24-25,2025,175148.48,172973.85968862707,174485.8144611618,-1.2415867447853057,175189.36172004702,175189.36172004702,1.0,174294.0144682312,175148.48,0.0,179498.186440506,178932.7246032402,0.87,105156.91866594316,160450.25211984807,0.21,243313.48658824922,175148.48,0.0,162142.10065853118,175018.41620658533,0.01,142015.2030580902,174485.8144611618,0.02
energy and natural resources,Mines,24-25,2025,1911.6,2016.5895682276725,1915.989570493698,5.492235207557681,1569.7298330783842,1569.7298330783842,1.0,1987.0072453022003,1911.6,0.0,2065.300141096115,2045.3191227536201,0.87,5402.547072887421,2644.6988853063585,0.21,1970.677786016464,1911.6,0.0,2378.4831182956696,1916.2688311829565,0.01,2131.078524684906,1915.989570493698,0.02
energy and natural resources,Power,24-25,2025,20671.32,20975.10635653727,20709.64472774105,1.4696030855178663,17993.427294659614,17993.427294659614,1.0,21378.55170176983,20671.32,0.0,22242.4014127779,22038.160829116772,0.87,34147.43266147614,23501.30365890999,0.21,22393.075739364624,20671.32,0.0,25376.368264660836,20718.370482646606,0.01,22587.556387052537,20709.64472774105,0.02
energy and natural resources,Water Resources,24-25,2025,20054.67,20576.442379976354,20014.66971430635,2.6017500162124603,16190.177553709744,16190.177553709744,1.0,19874.57475975215,20054.67,0.0,20639.739563995598,20563.68052067617,0.87,48456.30726426601,26019.013825495862,0.21,20433.340614398716,20054.67,0.0,20191.1456693387,20056.034756693385,0.01,18054.655715317724,20014.66971430635,0.02
food distribution,Consumer Affairs,24-25,2025,250.66,557.5518860511112,258.65318915309905,122.43352990150451,310.94016746759416,310.94016746759416,1.0,300.3792955732346,250.66,0.0,291.9386300706863,286.5724081614971,0.87,7099.549783935547,1688.9268546264648,0.21,252.42752094268798,250.66,0.0,704.9794571399689,255.2031945713997,0.01,650.319457654953,258.65318915309905,0.02
food distribution,Food Processing Industries,24-25,2025,3287.65,3189.34488068701,3275.0643002380134,-2.9901333570480424,2545.5857832968236,2545.5857832968236,1.0,3425.4543955266477,3287.65,0.0,3216.594014555216,3225.831292663038,0.87,4775.065845119953,3600.0073274751903,0.21,2776.762782984972,3287.65,0.0,2881.4829931020736,3283.588329931021,0.01,2658.3650119006634,3275.0643002380134,0.02
food distribution,Food and Public Distribution,24-25,2025,205513.94,202230.031067981,204535.49652723185,-1.597900819778452,195895.7860442376,195895.7860442376,1.0,211173.78743197917,205513.94,0.0,209459.92344088078,208946.94559356628,0.87,156778.7195338154,195279.54370210125,0.21,300377.20367711305,205513.94,0.0,176162.76969473006,205220.4282969473,0.01,156591.7663615918,204535.49652723185,0.02
governance and administration,Company Affairs,24-25,2025,756.19,800.6530075940943,758.2604185890199,5.8798724651336665,616.4823495322466,616.4823495322466,1.0,763.1699174904824,756.19,0.0,800.8367722439766,795.0326918522596,0.87,2295.1423646950725,1079.3699965859653,0.21,740.1343868744374,756.19,0.0,1161.2851021158697,760.2409510211587,0.01,859.7109294509888,758.2604185890199,0.02
governance and administration,External Affairs,24-25,2025,18050.0,19097.278648126125,18127.17993271351,5.802097773551937,15398.590591549873,15398.590591549873,1.0,18281.209594011307,18050.0,0.0,18659.337002038956,18580.12319177389,0.87,53086.56884431839,25407.679457306862,0.21,19228.428089618683,18050.0,0.0,29656.855887174606,18166.068558871746,0.01,21908.99663567543,18127.17993271351,0.02
governance and administration,Law and Justice,24-25,2025,3975.43,4667.132080937421,3984.7732136241434,17.399428009986874,3135.106904546022,3135.106904546022,1.0,4123.4400568223,3975.43,0.0,4241.595319653749,4206.993828098762,0.87,23343.380819249152,8042.699672042321,0.21,3567.011423212886,3975.43,0.0,6018.9533757948875,3995.8652337579488,0.01,4442.59068120718,3984.7732136241434,0.02
governance and administration,Parliamentary Affairs,24-25,2025,63.0,63.60892266511917,63.0840820813179,0.966543912887566,50.194923877716064,50.194923877716064,1.0,61.95296001434326,63.0,0.0,63.552584409713745,63.48074843645096,0.87,136.18543338775635,78.36894101142883,0.21,64.68119251728058,63.0,0.0,91.61086177825928,63.28610861778259,0.01,67.20410406589508,63.0840820813179,0.02
governance and administration,"Personnel, Public Grievances and Pensions",24-25,2025,71701.0,72074.15438088584,71558.79306681156,0.5204312086105362,69994.8698104024,69994.8698104024,1.0,70447.84916001558,71701.0,0.0,73274.80322527885,73070.2088059926,0.87,82190.01565730572,73903.6932880342,0.21,99959.82218134403,71701.0,0.0,78284.0132573843,71766.83013257384,0.01,64590.65334057808,71558.79306681156,0.02
infrastructure and transport,Civil Aviation,24-25,2025,3113.36,3569.726066613045,3130.125275072098,14.658313417434698,2735.172446165085,2735.172446165085,1.0,3270.7807525348667,3113.36,0.0,3455.0201850700378,3410.604361010933,0.87,14364.662504234315,5476.133525889206,0.21,2806.1510185146335,3113.36,0.0,4397.265520734787,3126.199055207348,0.01,3951.623753604889,3130.125275072098,0.02
infrastructure and transport,Road Transport and Highways,24-25,2025,270434.71,265591.52271866763,268332.4211210104,-1.7908896684646676,258956.01094101134,258956.01094101134,1.0,265398.8572405231,270434.71,0.0,278639.59056397085,277572.95609065465,0.87,175789.5507698679,250559.2265616723,0.21,367184.7420112431,270434.71,0.0,191868.48215895178,269649.0477215895,0.01,165320.26605051817,268332.4211210104,0.02
infrastructure and transport,Shipping,24-25,2025,2218.74,2205.494147527985,2224.704566036081,-0.5969988584518501,1830.0561938309668,1830.0561938309668,1.0,2290.613713445663,2218.74,0.0,2358.3240202403067,2340.1780976090668,0.87,3175.961172380447,2419.7564461998936,0.21,2150.1724667930603,2218.74,0.0,2877.674417309761,2225.3293441730975,0.01,2516.9683018040655,2224.704566036081,0.02
infrastructure and transport,Urban Development,24-25,2025,76431.6,79634.61769945307,76274.05370841981,4.190698218345636,72403.39629650116,72403.39629650116,1.0,78060.76525239945,76431.6,0.0,80888.75726723671,80309.32682249595,0.87,153410.48275365832,92597.16537826826,0.21,90452.93932085038,76431.6,0.0,78714.60532307625,76454.43005323077,0.01,68554.28542099,76274.05370841981,0.02
regional and development,Andaman & Nicobar Islands,24-25,2025,192.32,470.36042306694037,201.6714402328491,144.5717674016953,242.07456211090087,242.07456211090087,1.0,229.49252311706542,192.32,0.0,220.87990314483642,217.16711573600767,0.87,6457.0839880371095,1507.920437487793,0.21,229.6849896621704,192.32,0.0,589.8344184875488,196.29514418487548,0.01,659.892011642456,201.6714402328491,0.02
regional and development,Development of North Eastern Region,24-25,2025,5892.0,5918.050778237343,5860.234476070404,0.44213812351227705,4557.4860298633575,4557.4860298633575,1.0,6043.873765468597,5892.0,0.0,6124.268310070038,6094.073429760933,0.87,11904.830626487732,7154.694431562424,0.21,5223.472231864929,5892.0,0.0,4042.3228311538696,5873.503228311539,0.01,4303.723803520203,5860.234476070404,0.02
regional and development,Tribal Affairs,24-25,2025,24923.76,25031.243545644807,24818.112933145807,0.43124932050705456,24719.539921803473,24719.539921803473,1.0,26401.862405948636,24923.76,0.0,26851.102307939527,26600.54780790739,0.87,20470.664754824636,23988.609998513173,0.21,29859.753748826977,24923.76,0.0,18269.041314139366,24857.212813141392,0.01,19641.406657290456,24818.112933145807,0.02
science and innovation,Biotechnology,24-25,2025,2683.86,2752.012462215829,2697.373893769026,2.5393449068069502,2263.6403146827224,2263.6403146827224,1.0,2974.813105516434,2683.86,0.0,2860.311644918919,2837.3729310794592,0.87,5576.569834842682,3291.3290653169634,0.21,2556.7506226873397,2683.86,0.0,3541.8791711711883,2692.440191711712,0.01,3359.55468845129,2697.373893769026,0.02
science and innovation,Science and Technology,24-25,2025,7931.05,7945.049423500527,7948.898012755513,0.17651412487031318,6673.789831960202,6673.789831960202,1.0,8421.697568905354,7931.05,0.0,8320.946119773389,8270.259624202848,0.87,12636.038863521815,8919.097661339581,0.21,7380.144812583923,7931.05,0.0,9288.256089651584,7944.622060896516,0.01,8823.45063777566,7948.898012755513,0.02
science and innovation,Scientific and Industrial Research,24-25,2025,5746.51,5770.017817897332,5768.770700506688,0.40907990932464633,4796.526542987228,4796.526542987228,1.0,6277.540697149038,5746.51,0.0,5964.5142389476305,5936.173687884439,0.87,9926.790279119015,6624.368858614993,0.21,5357.671140600443,5746.51,0.0,7199.031052125692,5761.035210521257,0.01,6859.545025334359,5768.770700506688,0.02
science and innovation,Space,24-25,2025,12543.91,12951.48921626608,12618.994394756435,3.2492198705673117,11737.483122984766,11737.483122984766,1.0,13537.977208590508,12543.91,0.0,13554.37372791171,13423.013443283187,0.87,21902.098166964053,14509.129515062452,0.21,13167.140727421045,12543.91,0.0,16953.13965617895,12588.00229656179,0.01,16298.129737821817,12618.994394756435,0.02
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",24-25,2025,3647.5,3920.4915645691754,3642.0391429692504,7.484347212314608,3174.747517555952,3174.747517555952,1.0,4158.759559690952,3647.5,0.0,3338.35351601243,3378.5425589308143,0.87,13679.251173138618,5754.1677463591095,0.21,3986.143741309643,3647.5,0.0,1187.1417173743248,3622.8964171737434,0.01,3374.457148462534,3642.0391429692504,0.02
social and services,Elementary Education and Literacy,24-25,2025,68804.85,67590.590438907,68497.8461131375,-1.7647877454757914,67185.97396576703,67185.97396576703,1.0,79189.3231814325,68804.85,0.0,60802.51876342893,61842.82182418317,0.87,80755.35668849945,71314.4564045849,0.21,99555.40320253374,68804.85,0.0,18889.489206795395,68305.69639206796,0.01,53454.65565687419,68497.8461131375,0.02
social and services,Health,24-25,2025,86175.0,86452.43893879652,85806.4963645041,0.3219482898712158,83218.87651830912,83218.87651830912,1.0,95887.95880973339,86175.0,0.0,78097.52167761326,79147.59385952353,0.87,140321.3062673807,97545.72431614995,0.21,127497.03700840473,86175.0,0.0,23782.103580236435,85551.07103580236,0.01,67749.81822520494,85806.4963645041,0.02
social and services,Secondary Education and Higher Education,24-25,2025,44094.62,48813.70900548059,44024.48130961642,10.702187716960902,44844.97319516182,44844.97319516182,1.0,50933.616184821134,44094.62,0.0,39063.23816098571,39717.31780005757,0.87,173725.06777230263,71317.01403218356,0.21,60344.606849701406,44094.62,0.0,14279.46078953743,43796.46840789538,0.01,40587.685480821136,44024.48130961642,0.02
social and services,Social Justice and Empowerment,24-25,2025,20671.32,22105.48197777556,20653.380329520034,6.937931287288662,20058.07339621067,20058.07339621067,1.0,23795.447247891425,20671.32,0.0,18952.4535508132,19175.906189207482,0.87,64859.27382599831,29950.790303459646,0.21,25044.58411213875,20671.32,0.0,6790.98455368638,20532.51664553686,0.01,19774.33647600174,20653.380329520034,0.02
social and services,Women and Child Development,24-25,2025,25448.75,27404.867179997564,25399.27682288289,7.6864961147308355,25302.713946923614,25302.713946923614,1.0,29509.652001708746,25448.75,0.0,23101.85847759247,23406.954375505447,0.87,82441.2146550417,37417.16757755876,0.21,33857.5142788887,25448.75,0.0,8074.588586911559,25275.008385869118,0.01,22975.091144144535,25399.27682288289,0.02
social and services,Youth Affairs and Sports,24-25,2025,3397.32,3616.19730928113,3394.1399331540583,6.442646241188048,3049.0026938939095,3049.0026938939095,1.0,3843.174186859131,3397.32,0.0,3127.1922918748855,3162.3088939311506,0.87,11386.43885038376,5075.03495858059,0.21,3605.499710969925,3397.32,0.0,1133.2094174981119,3374.6788941749815,0.01,3238.316657702923,3394.1399331540583,0.02
