Sector_12,Base_Ministry,Fiscal_Year,Year_End,Naive_Lag1_2024,DL_Ensemble_2025,Linear_Ridge_2025,Growth_vs_2024_%
regional and development,Tribal Affairs,24-25,2025,24923.76,25031.243545644807,24818.112933145807,0.43124932050705456
science and innovation,Biotechnology,24-25,2025,2683.86,2752.012462215829,2697.373893769026,2.5393449068069502
science and innovation,Science and Technology,24-25,2025,7931.05,7945.049423500527,7948.898012755513,0.17651412487031318
science and innovation,Scientific and Industrial Research,24-25,2025,5746.51,5770.017817897332,5768.770700506688,0.40907990932464633
science and innovation,Space,24-25,2025,12543.91,12951.48921626608,12618.994394756435,3.2492198705673117
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",24-25,2025,3647.5,3920.4915645691754,3642.0391429692504,7.484347212314608
social and services,Elementary Education and Literacy,24-25,2025,68804.85,67590.590438907,68497.8461131375,-1.7647877454757914
social and services,Health,24-25,2025,86175.0,86452.43893879652,85806.4963645041,0.3219482898712158
social and services,Secondary Education and Higher Education,24-25,2025,44094.62,48813.70900548059,44024.48130961642,10.702187716960902
social and services,Social Justice and Empowerment,24-25,2025,20671.32,22105.48197777556,20653.380329520034,6.937931287288662
social and services,Women and Child Development,24-25,2025,25448.75,27404.867179997564,25399.27682288289,7.6864961147308355
social and services,Youth Affairs and Sports,24-25,2025,3397.32,3616.19730928113,3394.1399331540583,6.442646241188048
