Fiscal_Year,Ministry,Sector,Budget_Allocation,GDP_Growth_Rate,Inflation_CPI,Fiscal_Deficit_GDP,Current_Account_GDP,Exchange_Rate_USD,Crude_Oil_Price,Economic_Crisis,Election_Year,High_Inflation,Budget_MA_3,Budget_MA_5,Budget_YoY_Growth
19-20,Animal Husbandry and Dairying,Agriculture & Rural,3100.0,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,2857.0,2227.588,0.0
20-21,Animal Husbandry and Dairying,Agriculture & Rural,3289.13,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,3163.043333333333,2639.928,6.100967741935492
21-22,Animal Husbandry and Dairying,Agriculture & Rural,3101.98,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,3163.7033333333334,2992.422,-5.689954486444748
22-23,Animal Husbandry and Dairying,Agriculture & Rural,3918.84,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,3436.65,3301.9900000000002,26.333503117363755
23-24,Animal Husbandry and Dairying,Agriculture & Rural,4327.85,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,3782.890000000001,3547.56,10.437017076481814
05-06,Atomic Energy,Energy & Natural Resources,4995.86,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,4995.86,4995.86,
06-07,Atomic Energy,Energy & Natural Resources,5505.08,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,5250.469999999999,5250.469999999999,10.1928396712478
07-08,Atomic Energy,Energy & Natural Resources,6130.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,5543.6466666666665,5543.6466666666665,11.351696978063908
09-10,Atomic Energy,Energy & Natural Resources,7773.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,6469.36,6100.985,26.802610114192493
10-11,Atomic Energy,Energy & Natural Resources,8521.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,7474.666666666667,6584.988,9.623054161842282
11-12,Atomic Energy,Energy & Natural Resources,9352.46,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,8548.82,7456.307999999999,9.757774909048234
12-13,Atomic Energy,Energy & Natural Resources,9232.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,9035.153333333334,8201.692,-1.288003370236268
13-14,Atomic Energy,Energy & Natural Resources,9833.32,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,9472.593333333332,8942.356,6.513431542461001
15-16,Atomic Energy,Energy & Natural Resources,10912.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,9992.44,9570.155999999999,10.969641992734914
16-17,Atomic Energy,Energy & Natural Resources,11682.48,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,10809.266666666666,10202.452,7.060850439882693
17-18,Atomic Energy,Energy & Natural Resources,12461.2,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,11685.226666666667,10824.2,6.665707966116785
18-19,Atomic Energy,Energy & Natural Resources,13971.41,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,12705.029999999999,11772.082,12.11929830192917
19-20,Atomic Energy,Energy & Natural Resources,16725.51,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,14386.039999999999,13150.52,19.71239839071359
20-21,Atomic Energy,Energy & Natural Resources,18228.94,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,16308.62,14613.908,8.988843987418015
21-22,Atomic Energy,Energy & Natural Resources,18264.89,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,17739.78,15930.39,0.1972138807851742
22-23,Atomic Energy,Energy & Natural Resources,22723.58,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,19739.13666666667,17982.866,24.41126116828518
23-24,Atomic Energy,Energy & Natural Resources,25078.49,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,22022.319999999996,20204.282,10.363287827006129
05-06,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,405.98,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,405.98,405.98,
06-07,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,447.89,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,426.935,426.935,10.323168628996493
07-08,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,563.88,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,472.5833333333333,472.5833333333333,25.896983634374514
09-10,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,922.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,644.59,584.9375,63.50996665957296
10-11,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,964.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,816.6266666666667,660.75,4.5553145336225676
11-12,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,1088.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,991.3333333333334,797.154,12.863070539419086
12-13,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,1178.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1076.6666666666667,943.176,8.272058823529417
13-14,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,1259.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,1175.0,1082.2,6.876061120543286
15-16,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,896.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,1111.0,1077.0,-28.832406671961873
16-17,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,926.2,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,1027.0666666666666,1069.44,3.370535714285716
17-18,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,1428.65,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1083.6166666666668,1137.5700000000002,54.248542431440306
18-19,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,1626.37,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,1327.0733333333335,1227.2440000000001,13.839638819864897
19-20,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,1739.76,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,1598.2600000000002,1323.396,6.971968248307592
20-21,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,2122.08,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,1829.403333333333,1568.6119999999999,21.9754448889502
21-22,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,2970.3,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,2277.3799999999997,1977.432,39.9711603709568
22-23,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,3050.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,2714.1266666666666,2301.702,2.683230650102675
23-24,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",Social Services,3647.5,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,3222.6,2705.928,19.59016393442623
05-06,Biotechnology,Science & Innovation,458.6,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,458.6,458.6,
06-07,Biotechnology,Science & Innovation,534.6,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,496.6,496.6,16.572176188399478
07-08,Biotechnology,Science & Innovation,694.7,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,562.6333333333333,562.6333333333333,29.94762439206884
09-10,Biotechnology,Science & Innovation,1024.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,751.1,677.975,47.401756153735406
10-11,Biotechnology,Science & Innovation,1222.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,980.2333333333332,786.78,19.3359375
11-12,Biotechnology,Science & Innovation,1426.92,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,1224.3066666666666,980.4440000000001,16.76923076923078
12-13,Biotechnology,Science & Innovation,1500.39,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1383.1033333333335,1173.602,5.148852072996379
13-14,Biotechnology,Science & Innovation,1502.06,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,1476.456666666667,1335.074,0.11130439419082538
15-16,Biotechnology,Science & Innovation,1625.14,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,1542.53,1455.3020000000001,8.194080129954862
16-17,Biotechnology,Science & Innovation,1820.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,1649.0666666666666,1574.902,11.9903516004775
17-18,Biotechnology,Science & Innovation,2222.11,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1889.0833333333333,1733.94,22.093956043956055
18-19,Biotechnology,Science & Innovation,2411.53,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,2151.2133333333336,1916.1680000000001,8.52433047868917
19-20,Biotechnology,Science & Innovation,2580.34,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,2404.6600000000003,2131.824,7.000120255605369
20-21,Biotechnology,Science & Innovation,2786.76,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,2592.876666666667,2364.148,7.999720967004342
21-22,Biotechnology,Science & Innovation,3502.37,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,2956.4900000000002,2700.6220000000003,25.678924629318622
22-23,Biotechnology,Science & Innovation,2581.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,2956.7100000000005,2772.4,-26.307043516247564
23-24,Biotechnology,Science & Innovation,2683.86,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,2922.41,2826.866,3.9852770244091396
05-06,Chemicals and Petro-Chemicals,Economic Services,913.25,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,913.25,913.25,
06-07,Chemicals and Petro-Chemicals,Economic Services,169.4,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,541.325,541.325,-81.45086230495482
07-08,Chemicals and Petro-Chemicals,Economic Services,257.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,446.55,446.55,51.71192443919716
09-10,Chemicals and Petro-Chemicals,Economic Services,265.15,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,230.51666666666665,401.2,3.1712062256809226
10-11,Chemicals and Petro-Chemicals,Economic Services,420.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,314.05,404.96,58.40090514802942
11-12,Chemicals and Petro-Chemicals,Economic Services,822.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,502.3833333333334,386.71,95.71428571428571
12-13,Chemicals and Petro-Chemicals,Economic Services,1802.62,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1014.8733333333333,713.3539999999999,119.29683698296833
13-14,Chemicals and Petro-Chemicals,Economic Services,1343.01,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,1322.5433333333333,930.5559999999999,-25.496776913603526
15-16,Chemicals and Petro-Chemicals,Economic Services,255.18,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,1133.6033333333332,928.5620000000001,-80.99939687716397
16-17,Chemicals and Petro-Chemicals,Economic Services,202.04,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,600.0766666666667,884.97,-20.824516027901872
17-18,Chemicals and Petro-Chemicals,Economic Services,298.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,251.74,780.1700000000001,47.49554543654722
18-19,Chemicals and Petro-Chemicals,Economic Services,199.65,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,233.23000000000002,459.576,-33.00335570469799
19-20,Chemicals and Petro-Chemicals,Economic Services,263.65,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,253.76666666666668,243.704,32.05609817180064
20-21,Chemicals and Petro-Chemicals,Economic Services,218.34,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,227.21333333333337,236.33599999999996,-17.18566281054428
21-22,Chemicals and Petro-Chemicals,Economic Services,233.14,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,238.3766666666667,242.55599999999998,6.778418979573142
22-23,Chemicals and Petro-Chemicals,Economic Services,209.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,220.16000000000005,224.756,-10.354293557519078
23-24,Chemicals and Petro-Chemicals,Economic Services,173.45,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,205.1966666666667,219.516,-17.00956937799044
05-06,Civil Aviation,Infrastructure & Transport,633.5,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,633.5,633.5,
06-07,Civil Aviation,Infrastructure & Transport,448.6,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,541.05,541.05,-29.187056037884762
07-08,Civil Aviation,Infrastructure & Transport,617.56,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,566.5533333333333,566.5533333333333,37.663843067320535
09-10,Civil Aviation,Infrastructure & Transport,887.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,651.0533333333333,646.665,43.62976876740723
10-11,Civil Aviation,Infrastructure & Transport,2885.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,1463.1866666666665,1094.3319999999999,225.25366403607669
11-12,Civil Aviation,Infrastructure & Transport,2393.88,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,2055.2933333333335,1446.408,-17.023223570190638
12-13,Civil Aviation,Infrastructure & Transport,5238.8,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,3505.8933333333334,2404.448,118.84137884939929
13-14,Civil Aviation,Infrastructure & Transport,5882.18,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,4504.953333333334,3457.3720000000003,12.281056730548979
15-16,Civil Aviation,Infrastructure & Transport,3341.5,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,4820.826666666667,3948.272,-43.19282986919816
16-17,Civil Aviation,Infrastructure & Transport,2590.68,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,3938.1200000000003,3889.4080000000004,-22.469549603471496
17-18,Civil Aviation,Infrastructure & Transport,2702.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,2878.06,3951.032,4.29694134358547
18-19,Civil Aviation,Infrastructure & Transport,6602.86,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,3965.18,4223.844,144.36935603256848
19-20,Civil Aviation,Infrastructure & Transport,4500.0,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,4601.62,3947.4080000000004,-31.84771447524254
20-21,Civil Aviation,Infrastructure & Transport,3797.71,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,4966.856666666667,4038.65,-15.606444444444445
21-22,Civil Aviation,Infrastructure & Transport,3224.67,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,3840.7933333333335,4165.447999999999,-15.089093164038324
22-23,Civil Aviation,Infrastructure & Transport,10667.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,5896.46,5758.447999999999,230.793538563636
23-24,Civil Aviation,Infrastructure & Transport,3113.36,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,5668.343333333334,5060.548,-70.81316208868473
05-06,Coal,Energy & Natural Resources,192.07,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,192.07,192.07,
06-07,Coal,Energy & Natural Resources,205.71,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,198.89,198.89,7.101577549851634
07-08,Coal,Energy & Natural Resources,288.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,228.59333333333333,228.59333333333333,40.00291672743182
09-10,Coal,Energy & Natural Resources,349.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,280.90333333333336,258.695,21.180555555555557
10-11,Coal,Energy & Natural Resources,447.7,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,361.5666666666666,296.496,28.280802292263594
11-12,Coal,Energy & Natural Resources,468.72,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,421.8066666666667,351.826,4.6951083314719755
12-13,Coal,Energy & Natural Resources,498.35,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,471.59,410.354,6.321471240826071
13-14,Coal,Energy & Natural Resources,497.7,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,488.25666666666666,452.29400000000004,-0.13043042038728414
15-16,Coal,Energy & Natural Resources,606.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,534.0166666666667,503.6940000000001,21.76009644364074
