Sector_12,Base_Ministry,Fiscal_Year,Year_End,Naive_Lag1_2024,TCN_L5_F64_K3_DL_2025,TCN_L5_F64_K3_Blend_2025,alpha
food distribution,Consumer Affairs,24-25,2025,250.66,252.42752094268798,250.66,0.0
food distribution,Food Processing Industries,24-25,2025,3287.65,2776.762782984972,3287.65,0.0
food distribution,Food and Public Distribution,24-25,2025,205513.94,300377.20367711305,205513.94,0.0
governance and administration,Company Affairs,24-25,2025,756.19,740.1343868744374,756.19,0.0
governance and administration,External Affairs,24-25,2025,18050.0,19228.428089618683,18050.0,0.0
governance and administration,Law and Justice,24-25,2025,3975.43,3567.011423212886,3975.43,0.0
governance and administration,Parliamentary Affairs,24-25,2025,63.0,64.68119251728058,63.0,0.0
governance and administration,"Personnel, Public Grievances and Pensions",24-25,2025,71701.0,99959.82218134403,71701.0,0.0
infrastructure and transport,Civil Aviation,24-25,2025,3113.36,2806.1510185146335,3113.36,0.0
infrastructure and transport,Road Transport and Highways,24-25,2025,270434.71,367184.7420112431,270434.71,0.0
infrastructure and transport,Shipping,24-25,2025,2218.74,2150.1724667930603,2218.74,0.0
infrastructure and transport,Urban Development,24-25,2025,76431.6,90452.93932085038,76431.6,0.0
regional and development,Andaman & Nicobar Islands,24-25,2025,192.32,229.6849896621704,192.32,0.0
regional and development,Development of North Eastern Region,24-25,2025,5892.0,5223.472231864929,5892.0,0.0
regional and development,Tribal Affairs,24-25,2025,24923.76,29859.753748826977,24923.76,0.0
science and innovation,Biotechnology,24-25,2025,2683.86,2556.7506226873397,2683.86,0.0
science and innovation,Science and Technology,24-25,2025,7931.05,7380.144812583923,7931.05,0.0
science and innovation,Scientific and Industrial Research,24-25,2025,5746.51,5357.671140600443,5746.51,0.0
science and innovation,Space,24-25,2025,12543.91,13167.140727421045,12543.91,0.0
social and services,"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",24-25,2025,3647.5,3986.143741309643,3647.5,0.0
social and services,Elementary Education and Literacy,24-25,2025,68804.85,99555.40320253374,68804.85,0.0
social and services,Health,24-25,2025,86175.0,127497.03700840473,86175.0,0.0
social and services,Secondary Education and Higher Education,24-25,2025,44094.62,60344.606849701406,44094.62,0.0
social and services,Social Justice and Empowerment,24-25,2025,20671.32,25044.58411213875,20671.32,0.0
social and services,Women and Child Development,24-25,2025,25448.75,33857.5142788887,25448.75,0.0
social and services,Youth Affairs and Sports,24-25,2025,3397.32,3605.499710969925,3397.32,0.0
