Sector_12,Base_Ministry,Fiscal_Year,Year_End,Budget_Amount,Sector_Total,Ministry_Share_Sector
agriculture forestry fishing,Panchayati Raj@,18-19,2019,825.17,195697.09,0.004216567553457233
agriculture forestry fishing,Panchayati Raj@,19-20,2020,871.37,279726.11,0.00311508282154998
agriculture forestry fishing,Panchayati Raj@,20-21,2021,900.94,290868.94999999995,0.003097408643995862
agriculture forestry fishing,Panchayati Raj@,21-22,2022,913.43,329266.55,0.002774135423109332
agriculture forestry fishing,Panchayati Raj@,22-23,2023,868.57,219625.78000000003,0.003954772522606407
agriculture forestry fishing,Panchayati Raj@,23-24,2024,1016.42,253185.88,0.0040145208729649535
agriculture forestry fishing,Rural Development,05-06,2006,18353.87,27237.86,0.6738367111072602
agriculture forestry fishing,Rural Development,06-07,2007,24047.56,38240.82,0.6288453019574372
agriculture forestry fishing,Rural Development,07-08,2008,27522.86,44713.380000000005,0.6155396885674936
agriculture forestry fishing,Rural Development,09-10,2010,62706.95,86589.42,0.724187204395179
agriculture forestry fishing,Rural Development,10-11,2011,66137.86,93610.87,0.7065190185712408
agriculture forestry fishing,Rural Development,11-12,2012,74143.72,104371.66,0.7103817262272153
agriculture forestry fishing,Rural Development,12-13,2013,73221.82,109450.59,0.6689942923103476
agriculture forestry fishing,Rural Development,13-14,2014,74477.65,115835.73,0.6429592147431539
agriculture forestry fishing,Rural Development,15-16,2016,7493.08,21637.71,0.3462972745267406
agriculture forestry fishing,Rural Development,16-17,2017,7671.4,41329.78,0.18561434394279377
agriculture forestry fishing,Rural Development,17-18,2018,105447.88,179585.82,0.5871726397997348
agriculture forestry fishing,Rural Development,18-19,2019,112403.92,195697.09,0.5743770640636506
agriculture forestry fishing,Rural Development,19-20,2020,117647.19,279726.11,0.4205799379972074
agriculture forestry fishing,Rural Development,20-21,2021,120147.19,290868.94999999995,0.41306296185962793
agriculture forestry fishing,Rural Development,21-22,2022,131519.08,329266.55,0.3994304310595777
agriculture forestry fishing,Rural Development,22-23,2023,135944.29,219625.78000000003,0.6189814784038559
agriculture forestry fishing,Rural Development,23-24,2024,157545.0,253185.88,0.6222503403428342
communication broadcasting culture and toursim,Culture,05-06,2006,865.27,8893.52,0.0972921857712132
communication broadcasting culture and toursim,Culture,06-07,2007,40.0,8686.48,0.004604857203378124
communication broadcasting culture and toursim,Culture,07-08,2008,40.0,9808.84,0.004077954171951016
communication broadcasting culture and toursim,Culture,09-10,2010,7715.6,27810.86,0.27743119054930343
communication broadcasting culture and toursim,Culture,10-11,2011,8885.97,26793.57,0.3316456149740404
communication broadcasting culture and toursim,Culture,11-12,2012,1338.0,21702.46,0.06165199705471177
communication broadcasting culture and toursim,Culture,12-13,2013,11313.22,35015.68,0.3230901127723351
communication broadcasting culture and toursim,Culture,13-14,2014,11979.5,38654.68,0.30991072749793813
communication broadcasting culture and toursim,Culture,15-16,2016,6203.85,34711.33,0.17872694592802985
communication broadcasting culture and toursim,Culture,16-17,2017,23228.83,59671.0,0.3892817281426489
communication broadcasting culture and toursim,Culture,17-18,2018,2738.47,49264.71,0.055586849085278285
communication broadcasting culture and toursim,Culture,18-19,2019,46700.0,98490.44,0.47415769489911913
communication broadcasting culture and toursim,Culture,19-20,2020,129585.21,181207.1,0.715122144772473
communication broadcasting culture and toursim,Culture,20-21,2021,134399.77,230130.90999999997,0.5840144203140726
communication broadcasting culture and toursim,Culture,21-22,2022,123017.57,214101.45,0.5745760712970417
communication broadcasting culture and toursim,Culture,22-23,2023,124000.0,250087.59,0.49582628230373205
communication broadcasting culture and toursim,Culture,23-24,2024,115531.79,262565.88,0.44001067465430005
communication broadcasting culture and toursim,Information Technology,05-06,2006,965.3,8893.52,0.10853970081587491
communication broadcasting culture and toursim,Information Technology,06-07,2007,1126.0,8686.48,0.12962673027509417
communication broadcasting culture and toursim,Information Technology,07-08,2008,1536.0,9808.84,0.156593440202919
communication broadcasting culture and toursim,Information Technology,09-10,2010,2582.0,27810.86,0.09284142957103808
communication broadcasting culture and toursim,Information Technology,10-11,2011,2707.0,26793.57,0.1010317027555492
communication broadcasting culture and toursim,Information Technology,11-12,2012,3048.61,21702.46,0.1404730155014685
communication broadcasting culture and toursim,Information Technology,12-13,2013,3051.0,35015.68,0.08713239325924843
communication broadcasting culture and toursim,Information Technology,13-14,2014,3052.0,38654.68,0.07895551069107286
communication broadcasting culture and toursim,Information Technology,15-16,2016,2630.0,34711.33,0.07576776804576488
communication broadcasting culture and toursim,Information Technology,16-17,2017,3328.82,59671.0,0.05578622781585695
communication broadcasting culture and toursim,Information Technology,17-18,2018,4039.0,49264.71,0.08198566478925787
communication broadcasting culture and toursim,Information Technology,18-19,2019,6000.0,98490.44,0.06091961818832366
communication broadcasting culture and toursim,Information Technology,19-20,2020,6420.0,181207.1,0.03542907535080027
communication broadcasting culture and toursim,Information Technology,20-21,2021,6899.03,230130.90999999997,0.029978719503607754
communication broadcasting culture and toursim,Information Technology,21-22,2022,9720.66,214101.45,0.04540212128409219
communication broadcasting culture and toursim,Information Technology,22-23,2023,14300.0,250087.59,0.05717996642696265
communication broadcasting culture and toursim,Information Technology,23-24,2024,16549.04,262565.88,0.06302814364151199
communication broadcasting culture and toursim,Information and Broadcasting,05-06,2006,1603.0,8893.52,0.18024359308800114
communication broadcasting culture and toursim,Information and Broadcasting,06-07,2007,1716.0,8686.48,0.1975483740249215
communication broadcasting culture and toursim,Information and Broadcasting,07-08,2008,1681.84,9808.84,0.1714616611138524
communication broadcasting culture and toursim,Information and Broadcasting,09-10,2010,2568.0,27810.86,0.09233802910086203
communication broadcasting culture and toursim,Information and Broadcasting,10-11,2011,2604.18,26793.57,0.0971942148806598
communication broadcasting culture and toursim,Information and Broadcasting,11-12,2012,2643.64,21702.46,0.12181291890412423
communication broadcasting culture and toursim,Information and Broadcasting,12-13,2013,2737.32,35015.68,0.07817412085100162
communication broadcasting culture and toursim,Information and Broadcasting,13-14,2014,3035.65,38654.68,0.07853253474094211
communication broadcasting culture and toursim,Information and Broadcasting,15-16,2016,3711.11,34711.33,0.1069135063392846
communication broadcasting culture and toursim,Information and Broadcasting,16-17,2017,4083.63,59671.0,0.06843575606240888
communication broadcasting culture and toursim,Information and Broadcasting,17-18,2018,4409.0,49264.71,0.08949611192271303
communication broadcasting culture and toursim,Information and Broadcasting,18-19,2019,4088.98,98490.44,0.04151651672994861
communication broadcasting culture and toursim,Information and Broadcasting,19-20,2020,4375.21,181207.1,0.024144804480619137
communication broadcasting culture and toursim,Information and Broadcasting,20-21,2021,4375.21,230130.90999999997,0.01901183113559148
communication broadcasting culture and toursim,Information and Broadcasting,21-22,2022,4071.23,214101.45,0.019015424697030308
communication broadcasting culture and toursim,Information and Broadcasting,22-23,2023,3980.77,250087.59,0.015917503143598608
communication broadcasting culture and toursim,Information and Broadcasting,23-24,2024,4692.0,262565.88,0.017869800904824342
communication broadcasting culture and toursim,Posts,05-06,2006,1773.1,8893.52,0.1993698782934091
communication broadcasting culture and toursim,Posts,06-07,2007,1765.2,8686.48,0.2032123483850766
communication broadcasting culture and toursim,Posts,07-08,2008,1714.38,9808.84,0.17477907683273455
communication broadcasting culture and toursim,Posts,09-10,2010,6021.26,27810.86,0.21650750821801268
communication broadcasting culture and toursim,Posts,10-11,2011,4266.14,26793.57,0.15922252988310256
communication broadcasting culture and toursim,Posts,11-12,2012,5827.67,21702.46,0.2685257800267804
communication broadcasting culture and toursim,Posts,12-13,2013,6537.12,35015.68,0.18669121947653164
communication broadcasting culture and toursim,Posts,13-14,2014,7527.09,38654.68,0.19472648590028427
communication broadcasting culture and toursim,Posts,15-16,2016,7138.7,34711.33,0.20565907442901207
communication broadcasting culture and toursim,Posts,16-17,2017,9025.53,59671.0,0.15125488093043524
communication broadcasting culture and toursim,Posts,17-18,2018,9550.0,49264.71,0.19385073006620765
communication broadcasting culture and toursim,Posts,18-19,2019,11496.18,98490.44,0.11672381603737378
communication broadcasting culture and toursim,Posts,19-20,2020,11299.1,181207.1,0.06235462076265224
communication broadcasting culture and toursim,Posts,20-21,2021,15525.38,230130.90999999997,0.06746325384973274
communication broadcasting culture and toursim,Posts,21-22,2022,16528.22,214101.45,0.07719807595885035
communication broadcasting culture and toursim,Posts,22-23,2023,20820.02,250087.59,0.08325091221039797
communication broadcasting culture and toursim,Posts,23-24,2024,25814.0,262565.88,0.09831437352027612
communication broadcasting culture and toursim,Telecommunications,05-06,2006,2858.65,8893.52,0.32143065962633466
communication broadcasting culture and toursim,Telecommunications,06-07,2007,3166.46,8686.48,0.36452740350521734
communication broadcasting culture and toursim,Telecommunications,07-08,2008,3840.0,9808.84,0.39148360050729747
communication broadcasting culture and toursim,Telecommunications,09-10,2010,7854.0,27810.86,0.282407663768758
communication broadcasting culture and toursim,Telecommunications,10-11,2011,7210.87,26793.57,0.2691268838008522
communication broadcasting culture and toursim,Telecommunications,11-12,2012,7673.78,21702.46,0.3535903303127848
communication broadcasting culture and toursim,Telecommunications,12-13,2013,10094.04,35015.68,0.2882719970024858
communication broadcasting culture and toursim,Telecommunications,13-14,2014,11703.14,38654.68,0.30276126978673734
communication broadcasting culture and toursim,Telecommunications,15-16,2016,13474.6,34711.33,0.388190253729834
communication broadcasting culture and toursim,Telecommunications,16-17,2017,18413.87,59671.0,0.30858993480920377
communication broadcasting culture and toursim,Telecommunications,17-18,2018,26687.47,49264.71,0.5417157636774884
communication broadcasting culture and toursim,Telecommunications,18-19,2019,28055.28,98490.44,0.2848528242944188
communication broadcasting culture and toursim,Telecommunications,19-20,2020,27338.36,181207.1,0.1508680399388324
communication broadcasting culture and toursim,Telecommunications,20-21,2021,66431.69,230130.90999999997,0.28866913184326265
communication broadcasting culture and toursim,Telecommunications,21-22,2022,58737.0,214101.45,0.27434190660549007
communication broadcasting culture and toursim,Telecommunications,22-23,2023,84586.8,250087.59,0.33822869819330104
communication broadcasting culture and toursim,Telecommunications,23-24,2024,97579.05,262565.88,0.37163644415641517
communication broadcasting culture and toursim,Tourism,05-06,2006,828.2,8893.52,0.09312398240516691
communication broadcasting culture and toursim,Tourism,06-07,2007,872.82,8686.48,0.10048028660631235
communication broadcasting culture and toursim,Tourism,07-08,2008,996.62,9808.84,0.10160426717124553
communication broadcasting culture and toursim,Tourism,09-10,2010,1070.0,27810.86,0.038474178792025845
communication broadcasting culture and toursim,Tourism,10-11,2011,1119.41,26793.57,0.041779053705795835
communication broadcasting culture and toursim,Tourism,11-12,2012,1170.76,21702.46,0.05394595820013031
communication broadcasting culture and toursim,Tourism,12-13,2013,1282.98,35015.68,0.036640156638397425
communication broadcasting culture and toursim,Tourism,13-14,2014,1357.3,38654.68,0.035113471383025285
communication broadcasting culture and toursim,Tourism,15-16,2016,1553.07,34711.33,0.044742451528074545
communication broadcasting culture and toursim,Tourism,16-17,2017,1590.32,59671.0,0.026651472239446295
communication broadcasting culture and toursim,Tourism,17-18,2018,1840.77,49264.71,0.03736488045905477
communication broadcasting culture and toursim,Tourism,18-19,2019,2150.0,98490.44,0.021829529850815977
communication broadcasting culture and toursim,Tourism,19-20,2020,2189.22,181207.1,0.012081314694622891
communication broadcasting culture and toursim,Tourism,20-21,2021,2499.83,230130.90999999997,0.010862643353732883
communication broadcasting culture and toursim,Tourism,21-22,2022,2026.77,214101.45,0.00946640015749543
communication broadcasting culture and toursim,Tourism,22-23,2023,2400.0,250087.59,0.009596637722007717
communication broadcasting culture and toursim,Tourism,23-24,2024,2400.0,262565.88,0.009140563122672299
defense security,Defence (Civil estimates),05-06,2006,13952.0,113967.82,0.12242052186310134
defense security,Defence (Civil estimates),06-07,2007,15123.84,48266.09,0.3133429701888013
defense security,Defence (Civil estimates),07-08,2008,16695.83,54387.39,0.3069797980745169
defense security,Defence (Civil estimates),09-10,2010,24960.0,87219.78,0.2861736179568442
defense security,Defence (Civil estimates),10-11,2011,147344.0,329832.97,0.4467230792603905
defense security,Defence (Civil estimates),11-12,2012,38156.81,249362.15,0.15301764923024605
defense security,Defence (Civil estimates),12-13,2013,44798.24,141818.58,0.3158841387355592
defense security,Defence (Civil estimates),13-14,2014,49673.79,156254.41999999998,0.31790326315249195
defense security,Defence (Civil estimates),15-16,2016,63352.6,192356.3,0.32935027342488915
defense security,Defence (Civil estimates),16-17,2017,118465.84,310338.05,0.3817315988161942
defense security,Defence (Civil estimates),17-18,2018,14852.22,265626.11,0.05591400634523466
defense security,Defence (Civil estimates),18-19,2019,16206.09,37205.54,0.43558271160692735
defense security,Defence (Civil estimates),19-20,2020,17065.12,39026.049999999996,0.437275102143312
defense security,Defence (Civil estimates),20-21,2021,14500.0,37002.0,0.39187070969136806
defense security,Defence (Civil estimates),21-22,2022,15257.34,38135.08,0.40008674427849633
defense security,Defence (Civil estimates),22-23,2023,20100.0,47821.0,0.42031743376340935
defense security,Defence (Civil estimates),23-24,2024,22612.5,51126.31,0.4422869555811871
defense security,Defence Services,05-06,2006,83000.0,113967.82,0.7282757536294017
defense security,Defence Services,06-07,2007,15123.84,48266.09,0.3133429701888013
defense security,Defence Services,07-08,2008,16695.83,54387.39,0.3069797980745169
defense security,Defence Services,09-10,2010,24960.0,87219.78,0.2861736179568442
defense security,Defence Services,10-11,2011,147344.0,329832.97,0.4467230792603905
defense security,Defence Services,11-12,2012,164415.49,249362.15,0.6593442108194848
defense security,Defence Services,12-13,2013,44798.24,141818.58,0.3158841387355592
defense security,Defence Services,13-14,2014,49673.79,156254.41999999998,0.31790326315249195
defense security,Defence Services,15-16,2016,63352.6,192356.3,0.32935027342488915
defense security,Defence Services,16-17,2017,118465.84,310338.05,0.3817315988161942
defense security,Defence Services,17-18,2018,172773.89,265626.11,0.6504401619253469
defense security,Defence Services,18-19,2019,16206.09,37205.54,0.43558271160692735
defense security,Defence Services,19-20,2020,17065.12,39026.049999999996,0.437275102143312
defense security,Defence Services,20-21,2021,14500.0,37002.0,0.39187070969136806
defense security,Defence Services,21-22,2022,15257.34,38135.08,0.40008674427849633
defense security,Defence Services,22-23,2023,20100.0,47821.0,0.42031743376340935
defense security,Defence Services,23-24,2024,22612.5,51126.31,0.4422869555811871
defense security,Home Affairs,05-06,2006,17015.82,113967.82,0.14930372450749693
defense security,Home Affairs,06-07,2007,18018.41,48266.09,0.37331405962239744
defense security,Home Affairs,07-08,2008,20995.73,54387.39,0.38604040385096616
defense security,Home Affairs,09-10,2010,37299.78,87219.78,0.4276527640863116
defense security,Home Affairs,10-11,2011,35144.97,329832.97,0.10655384147921902
defense security,Home Affairs,11-12,2012,46789.85,249362.15,0.18763813995026912
defense security,Home Affairs,12-13,2013,52222.1,141818.58,0.36823172252888164
defense security,Home Affairs,13-14,2014,56906.84,156254.41999999998,0.36419347369501615
defense security,Home Affairs,15-16,2016,65651.1,192356.3,0.3412994531502218
defense security,Home Affairs,16-17,2017,73406.37,310338.05,0.2365368023676117
defense security,Home Affairs,17-18,2018,78000.0,265626.11,0.2936458317294185
defense security,Home Affairs,18-19,2019,4793.36,37205.54,0.12883457678614527
defense security,Home Affairs,19-20,2020,4895.81,39026.049999999996,0.12544979571337608
defense security,Home Affairs,20-21,2021,8002.0,37002.0,0.21625858061726394
defense security,Home Affairs,21-22,2022,7620.4,38135.08,0.1998265114430073
defense security,Home Affairs,22-23,2023,7621.0,47821.0,0.15936513247318124
defense security,Home Affairs,23-24,2024,5901.31,51126.31,0.11542608883762588
economic services,Chemicals and Petro-Chemicals,05-06,2006,913.25,170679.0,0.0053506875479701664
economic services,Chemicals and Petro-Chemicals,06-07,2007,169.4,182168.45,0.0009299085544176282
economic services,Chemicals and Petro-Chemicals,07-08,2008,257.0,202392.49,0.0012698099618222
economic services,Chemicals and Petro-Chemicals,09-10,2010,265.15,275949.66,0.000960863658973162
economic services,Chemicals and Petro-Chemicals,10-11,2011,420.0,300147.1,0.0013993138697658582
economic services,Chemicals and Petro-Chemicals,11-12,2012,822.0,342764.48,0.0023981481395038366
economic services,Chemicals and Petro-Chemicals,12-13,2013,1802.62,404609.2,0.004455212585378681
economic services,Chemicals and Petro-Chemicals,13-14,2014,1343.01,463665.78,0.0028965044606052226
economic services,Chemicals and Petro-Chemicals,15-16,2016,255.18,587662.1499999999,0.00043422908894166497
economic services,Chemicals and Petro-Chemicals,16-17,2017,202.04,625239.6900000001,0.00032314007448887316
economic services,Chemicals and Petro-Chemicals,17-18,2018,298.0,51887.06,0.005743243113022785
economic services,Chemicals and Petro-Chemicals,18-19,2019,199.65,51204.78,0.0038990500496242737
economic services,Chemicals and Petro-Chemicals,19-20,2020,263.65,55617.17,0.004740442564769117
economic services,Chemicals and Petro-Chemicals,20-21,2021,218.34,71966.5,0.003033911611652644
economic services,Chemicals and Petro-Chemicals,21-22,2022,233.14,96539.95,0.002414958781312814
economic services,Chemicals and Petro-Chemicals,22-23,2023,209.0,76252.66,0.002740887990005857
economic services,Chemicals and Petro-Chemicals,23-24,2024,173.45,61298.689999999995,0.002829587385962082
economic services,Commerce,05-06,2006,2420.0,170679.0,0.014178662870066031
economic services,Commerce,06-07,2007,2481.29,182168.45,0.013620854763818871
economic services,Commerce,07-08,2008,2541.0,202392.49,0.01255481366922261
economic services,Commerce,09-10,2010,3652.0,275949.66,0.013234297878823261
economic services,Commerce,10-11,2011,3980.05,300147.1,0.013260331350860962
economic services,Commerce,11-12,2012,6511.58,342764.48,0.0189972426547815
economic services,Commerce,12-13,2013,5023.0,404609.2,0.012414448312099676
economic services,Commerce,13-14,2014,5391.0,463665.78,0.011626909365621073
economic services,Commerce,15-16,2016,5091.51,587662.1499999999,0.00866400873358953
economic services,Commerce,16-17,2017,4362.8,625239.6900000001,0.00697780398426082
economic services,Commerce,17-18,2018,4465.83,51887.06,0.08606827983701525
economic services,Commerce,18-19,2019,5251.7,51204.78,0.10256269043632255
economic services,Commerce,19-20,2020,6219.32,55617.17,0.11182374076207041
economic services,Commerce,20-21,2021,6219.32,71966.5,0.08641965358882257
economic services,Commerce,21-22,2022,4986.01,96539.95,0.05164711603848977
economic services,Commerce,22-23,2023,6073.0,76252.66,0.07964312326940463
economic services,Commerce,23-24,2024,5254.58,61298.689999999995,0.0857209183426269
economic services,Economic Affairs (centralised provisions),05-06,2006,160114.27,170679.0,0.9381017582713749
economic services,Economic Affairs (centralised provisions),06-07,2007,169511.6,182168.45,0.9305211742208928
economic services,Economic Affairs (centralised provisions),07-08,2008,189264.93,202392.49,0.935138107150122
economic services,Economic Affairs (centralised provisions),09-10,2010,260122.44,275949.66,0.9426445388626318
economic services,Economic Affairs (centralised provisions),10-11,2011,281433.0,300147.1,0.9376502388328923
