Sector_12,Fiscal_Year,Budget_Amount
infrastructure and transport,19-20,137450.7
infrastructure and transport,20-21,147460.83000000002
infrastructure and transport,21-22,177609.02
infrastructure and transport,22-23,288033.67
infrastructure and transport,23-24,352198.41000000003
regional and development,05-06,3237.56
regional and development,06-07,4474.14
regional and development,07-08,4381.32
regional and development,09-10,4429.92
regional and development,10-11,4701.379999999999
regional and development,11-12,5715.32
regional and development,12-13,6393.98
regional and development,13-14,7001.549999999999
regional and development,15-16,6443.86
regional and development,16-17,5700.59
regional and development,17-18,17499.37
regional and development,18-19,19523.86
regional and development,19-20,20871.4
regional and development,20-21,23034.989999999998
regional and development,21-22,23025.15
regional and development,22-23,25407.489999999998
regional and development,23-24,31008.079999999998
science and innovation,05-06,6799.6
science and innovation,06-07,7640.6
science and innovation,07-08,8230.3
science and innovation,09-10,10807.0
science and innovation,10-11,12357.0
science and innovation,11-12,14170.92
science and innovation,12-13,14572.61
science and innovation,13-14,15049.33
science and innovation,15-16,16880.03
science and innovation,16-17,17862.14
science and innovation,17-18,20579.09
science and innovation,18-19,23105.7
science and innovation,19-20,24335.5
science and innovation,20-21,27952.76
science and innovation,21-22,28743.120000000003
science and innovation,22-23,27917.46
science and innovation,23-24,28905.33
social and services,05-06,28608.45
social and services,06-07,48197.7
social and services,07-08,60391.79
social and services,09-10,86266.54000000001
social and services,10-11,99508.37
social and services,11-12,110655.0
social and services,12-13,135191.11
social and services,13-14,145720.07
social and services,15-16,53316.64
social and services,16-17,70287.81
social and services,17-18,159412.99
social and services,18-19,181379.93
social and services,19-20,204242.16
social and services,20-21,215154.24
social and services,21-22,209816.52000000002
social and services,22-23,234637.34
social and services,23-24,252239.36000000002
