,,,,
71.    Ministry of New and Renewable Energy,10210.35,11.65,10222.00,254-258
72.    Ministry of Panchayati Raj,993.27,23.15,1016.42,259-260
73.    Ministry of Parliamentary Affairs,59.00,4.00,63.00,261-261
74.    Ministry of Personnel, Public Grievances and Pensions,1932.02,275.72,2207.74,262-264
75.    Central Vigilance Commission,43.21,1.25,44.46,265-265
76.    Ministry of Petroleum and Natural Gas,5498.74,35508.98,41007.72,266-269
77.    Ministry of Planning,805.73,18.66,824.39,270-271
78.    Ministry of Ports, Shipping and Waterways,1150.53,1068.21,2218.74,272-275
79.    Ministry of Power,20654.52,16.80,20671.32,276-281
"
80.    Staff, Household and Allowances of the President,87.73,2.41,90.14,282-282"
81.    Lok Sabha,786.51,35.49,822.00,283-284
82.    Rajya Sabha,474.35,10.06,484.41,285-286
83.    Secretariat of the Vice-President,9.10,0.21,9.31,287-287
84.    Union Public Service Commission,358.46,21.54,380.00,288-288
85.    Ministry of Railways,1267.51,240000.00,241267.51,289-293
86.    Ministry of Road Transport and Highways,11829.18,258605.53,270434.71,294-297
87.    Department of Rural Development,157541.48,3.52,157545.00,298-302
88.    Department of Land Resources,2417.97,1.26,2419.23,303-305
89.    Department of Science and Technology,7842.75,88.30,7931.05,306-308
90.    Department of Biotechnology,2683.86,...,2683.86,309-310
91.    Department of Scientific and Industrial Research,5737.05,9.46,5746.51,311-312
92.    Ministry of Skill Development and Entrepreneurship,3418.07,99.24,3517.31,313-315
93.    Department of Social Justice and Empowerment,12706.97,140.05,12847.02,316-322
94.    Department of Empowerment of Persons with Disabilities,1224.09,1.06,1225.15,323-325
95.    Department of Space,6187.10,6356.81,12543.91,326-328
96.    Ministry of Statistics and Programme Implementation,5409.92,33.48,5443.40,329-330
97.    Ministry of Steel,67.98,2.17,70.15,331-332
98.    Ministry of Textiles,4362.53,26.81,4389.34,333-338
99.    Ministry of Tourism,2400.00,...,2400.00,339-342
100.    Ministry of Tribal Affairs,12414.95,46.93,12461.88,343-347
101.    Ministry of Women and Child Development,25443.67,5.08,25448.75,348-350
102.    Ministry of Youth Affairs and Sports,3389.56,7.76,3397.32,351-354
